"CB Register as of September 2023","","","","","","","","","","",""
"","","","Banks","","","","","كا","","",""
"No","Institution Name","License Type","License Category","Head office","Identification Number","ا ا","ا ","ع ا","ا ا","ا",""
"1","HSBC Bank Middle East Limited","Foreign Bank","Conventional Retail","Dubai","01.02.01.001.1946.02","د","دا ي","أ ",".سا.ا  قا . . دوا وا","1",""
"2","Standard Chartered Bank","Foreign Bank","Conventional Retail","Dubai","01.02.01.002.1958.02","د","دا ي","أ ","د در
","2",""
"3","Emirates NBD Bank P.J.S.C","National Bank","Conventional Retail","Dubai","01.01.01.003.1963.02","د","دا ي","طو ","تارا  طا د
ع.م.ش","3",""
"4","CitiBank N.A.","Foreign Bank","Conventional Retail","Dubai","01.02.01.004.1964.02","د","دا ي","أ "," ـــــــــ
.أ .نإ","4",""
"5","Mashreq Bank P.S.C.","National Bank","Conventional Retail","Dubai","01.01.01.005.1967.02","د","دا ي","طو "," قـــــــا
ع.م.ش","5",""
"6","Habib Bank Ltd.","Foreign Bank","Conventional Retail","Dubai","01.02.01.006.1967.02","د","دا ي","أ ","  دوـــــــا","6",""
"7","United Bank Ltd.","Foreign Bank","Conventional Retail","Dubai","01.02.01.007.1967.02","د","دا ي","أ "," ــــــــ
","7",""
"8","First Abu Dhabi Bank
P.J.S.C","National Bank","Conventional Retail","Abu Dhabi","01.01.01.008.1968.01","ظأ","دا ي","طو ","ظأ  ع.م.ش لوا","8",""
"9","Bank Saderat Iran","Foreign Bank","Conventional Retail","Dubai","01.02.01.009.1968.02","د","دا ي","أ "," تاردــــــــ
ناإ","9",""
"10","Commercial Bank of Dubai
P.J.S.C","National Bank","Conventional Retail","Dubai","01.01.01.010.1969.02","د","دا ي","طو ","د  ع.م.ش يرا","10",""
"11","Al Ahli Bank of Kuwait","Foreign Bank","Conventional Retail","Dubai","01.02.01.011.1969.02","د","دا ي","أ ","ھا ا
.م .ش( ا
(ك","11",""
"12","Bank Melli Iran","Foreign Bank","Conventional Retail","Dubai","01.02.01.012.1969.02","د","دا ي","أ ","ــ  ناــــــا","12",""
"13","Arab African
International Bank","Foreign Bank","Conventional Retail","Dubai","01.02.01.013.1970.02","د","دا ي","أ ","ا ا وا ا","13",""
"14","Banque Misr","Foreign Bank","Conventional Retail","Dubai","01.02.01.014.1972.02","د","دا ي","أ ","ـــ ـــ","14",""
"15","Bank of Sharjah P.J.S.C","National Bank","Conventional Retail","Sharjah","01.01.01.015.1973.03","را","دا ي","طو ","ـــــــرا 
ع.م.ش","15",""
"16","Arab Bank PLC","Foreign Bank","Conventional Retail","Abu Dhabi","01.02.01.016.1973.01","ظأ","دا ي","أ ","ا ا
ع.م.ش.","16",""
"17","BNP Paribas","Foreign Bank","Conventional Retail","Abu Dhabi","01.02.01.017.1973.01","ظأ","دا ي","أ ",". .نا .
رــــ","17",""
"18","Al Khaliji
(France) S. A.","Foreign Bank","Conventional Retail","Dubai","01.02.01.018.1973.02","د","دا ي","أ ",")( ا
.ا .سا","18",""
"19","Natwest Markets Plc","Foreign Bank","Conventional Retail","Dubai","01.02.01.019.1973.02","د","دا ي","أ ","و ت ع.م.ش ر","19",""
"20","Rafidain Bank","Foreign Bank","Conventional Retail","Abu Dhabi","01.02.01.020.1974.01","ظأ","دا ي","أ ","ف اا","20",""
"21","Bank of Baroda","Foreign Bank","Conventional Retail","Dubai","01.02.01.021.1974.02","د","دا ي","أ ","ادورـــــ ","21",""
"22","Janata Bank Limited","Foreign Bank","Conventional Retail","Abu Dhabi","01.02.01.022.1974.01","ظأ","دا ي","أ ","ـــ ــ
","22",""
"23","Habib Bank
A.G Zurich","Foreign Bank","Conventional Retail","Dubai","01.02.01.023.1974.02","د","دا ي","أ ","يأ   رز ","23",""
"24","Banque Banorient
France","Foreign Bank","Conventional Retail","Dubai","01.02.01.024.1974.02","د","دا ي","أ ","ر 
","24",""
"25","Dubai Islamic Bank P.J.S.C","National Bank","Islamic Retail","Dubai","01.01.02.025.1975.02","د","دا إ","طو ","د  ا
ع.م.ش","25",""
"26","Sharjah Islamic Bank P.J.S.C.","National Bank","Islamic Retail","Sharjah","01.01.02.026.1975.03","را","دا إ","طو ","را ف
ا ع.م.ش","26",""
"27","United Arab Bank P.J.S.C","National Bank","Conventional Retail","Sharjah","01.01.01.027.1975.03","را","دا ي","طو ","ا ا ع.م.ش ا","27",""
"28","InvestBank P.J.S.C","National Bank","Conventional Retail","Sharjah","01.01.01.028.1975.03","را","دا ي","طو "," رــــــــا","28",""
"29","Credit Agricole- Corporate and Investment
Bank","Foreign Bank","Conventional Retail","Dubai","01.02.01.029.1975.02","د","دا ي","أ ","لا ي
ا  راو","29",""
"30","Arab Bank for
Inv.& Foreign Trade","National Bank","Conventional Retail","Abu Dhabi","01.01.01.030.1976.01","ظأ","دا ي","طو ","ا فا
ر را ةراو","30",""
"31","Emirates Islamic Bank
P.J.S.C.","National Bank","Islamic Retail","Dubai","01.01.02.031.1976.02","د","دا إ","طو ","تارا ف ع.م.ش ا","31",""
"32","National Bank of R.A.K
P.J.S.C","National Bank","Conventional Retail","R.A.K","01.01.01.032.1976.06","سأر ا","دا ي","طو ","ا سأر  ع.م.ش طا","32",""
"33","Emirates Investment
Bank (PJSC)","National Bank","Conventional Investment","Dubai","01.01.05.033.1976.02","د","ي ر","طو ","تارا  ر
(ع.م.ش)","33",""
"34","El Nilein Bank","Foreign Bank","Islamic Retail","Abu Dhabi","01.02.02.034.1976.01","ظأ","دا إ","أ ","ـــا ","34",""
"35","National Bank of  Oman
S.A.O.G.","Foreign Bank","Conventional Retail","Abu Dhabi","01.02.01.035.1976.01","ظأ","دا ي","أ ","طا ا
.ش( ا
(.ع.ع.م","35",""
"36","National Bank of U.A.Q PSC","National Bank","Conventional Retail","U.A.Q","01.01.01.037.1982.05","مأ ا","دا ي","طو ","ا ما  ع.م.ش طا","36",""
"37","National Bank of Bahrain","Foreign Bank","Conventional Retail","Abu Dhabi","01.02.01.038.1982.01","ظأ","دا ي","أ ","ا 
طا","37",""
"38","National Bank of Fujairah
PSC","National Bank","Conventional Retail","Fujaira h","01.01.01.039.1984.07","ةا","دا ي","طو ","ةا  ع.م.ش طا","38",""
"39","Abu Dhabi Commercial
Bank P.J.S.C","National Bank","Conventional Retail","Abu Dhabi","01.01.01.040.1985.01","ظأ","دا ي","طو ","ظأ  ع.م.ش يرا","39",""
"40","Commercial Bank International
P.J.S.C","National Bank","Conventional Retail","Dubai","01.01.01.041.1991.02","د","دا ي","طو ","يرا ا ع.م.ش وا","40",""
"41","Abu Dhabi Islamic Bank
P.J.S.C","National Bank","Islamic Retail","Abu Dhabi","01.01.02.042.1997.01","ظأ","دا إ","طو ","ظأ ف
ا ع.م.ش","41",""
"42","Al Hilal  Bank P.J.S.C","National Bank","Islamic Retail","Abu Dhabi","01.01.02.045.2007.01","ظا","دا إ","طو ","لا ف
ع.م.ش","42",""
"43","Doha Bank","Foreign Bank","Conventional Retail","Dubai","01.02.01.046.2007.02","د","دا ي","أ ","ــوا ","43",""
"44","The Saudi National Bank","Foreign Bank","Conventional Retail","Dubai","01.02.01.047.2007.02","د","دا ي","أ ","ھا ا يدا","44",""
"45","Ajman  Bank P.J.S.C","National Bank","Islamic Retail","Ajman","01.01.02.048.2008.04","ن","دا إ","طو ","ن ف
ع.م.ش","45",""
"46","National Bank of Kuwait","Foreign Bank","Conventional Retail","Dubai","01.02.01.049.2008.02","د","دا ي","أ ","ا 
طا","46",""
"47","Industrial & Commercial
Bank of China","Foreign Bank","Conventional Wholesale","Abu Dhabi","01.02.03.050.2009.01","ظأ","ل ي","أ ","ا لا  ل
 فوأ","47",""
"48","Deutsche Bank AG","Foreign Bank","Conventional Wholesale","Abu Dhabi","01.02.03.051.2009.01","ظأ","ل ي","أ ","يأ  ود
ـ","48",""
"49","KEB Hana Bank","Foreign Bank","Conventional Wholesale","Abu Dhabi","01.02.03.053.2012.01","ظأ","ل ي","أ ","ھ  يأ 
ـ","49",""
"50","Barclays Bank PLC","Foreign Bank","Conventional Wholesale","Dubai","01.02.03.054.2014.02","د","ل ي","أ ","ر 
ع.م.ش.","50",""
"51","Bank of China Limited","Foreign Bank","Conventional Wholesale","Abu Dhabi","01.02.03.055.2014.01","ظأ","ل ي","أ ","فوا ـ ـ ــ","51",""
"52","Gulf International
Bank","Foreign Bank","Conventional Wholesale","Abu Dhabi","01.02.03.056.2014.01","ظا","ل ي","أ ","ا 
وا","52",""
"53","MCB Bank Limited","Foreign Bank","Conventional Wholesale","Dubai","01.02.03.057.2015.02","د","ل ي","أ ","   ما
","53",""
"54","Intesa Sanpaolo S.P.A","Foreign Bank","Conventional Wholesale","Abu Dhabi","01.02.03.058.2016.01","ظا","ل ي","أ ","و ن اا","54",""
"55","Agricultural Bank of China
Ltd.","Foreign Bank","Conventional Wholesale","Dubai","01.02.03.059.2016.02","د","ل ي","أ ","لاأ  فوأ 
","55",""
"56","Bank Al Falah Limited","Foreign Bank","Conventional Wholesale","Dubai","01.02.03.060.2017.02","د","ل ي","أ ","حا  دوا","56",""
"57","BOK
International Bank","Foreign Bank","Islamic Retail","Abu Dhabi","01.02.02.061.2017.01","ظأ","دا إ","أ "," وأ  لا
","57",""
"58","Al Maryah Community
Bank L.L.C.","National Bank","Conventional Specialized","Abu Dhabi","01.01.07.062.2021.01","ظأ","ي ","طو  ","را 
.م.م.ذ ا","58",""
"59","WIO Bank P.J.S.C","National Bank","Conventional Retail","Abu Dhabi","01.01.01.063.2022.01","ظأ","دا ي","طو ","ع.م.ش  و","59",""
"60","Zand Bank P.J.S.C","National Bank","Conventional Retail","Dubai","01.01.01.064.2022.02","د","دا ي","طو "," از ع.م.ش.","60",""
"61","MTS Bank P.J.S.C","Foreign Bank","Conventional Retail","Abu Dhabi","01.02.01.065.2022.01","ظأ","دا ي","أ ","سأ  مأ 
ع.م.ش.","61",""
"62","International Development Bank for Investment &
Finance","Foreign Bank","Conventional Wholesale","Dubai","01.02.03.066.2022.02","د","ل ي","أ ","ا ف وا ر او","62",""
